Biomarker_1,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
TIMP2_CLIC1,0.85268,1.0,0.07143,1.0,0.51852,0.0101
CLIC1_TIMP2,0.85268,1.0,0.01786,1.0,0.5045,0.50505
AGRIN_TIMP2,0.83546,1.0,0.03571,1.0,0.50909,0.51515
TIMP2_AGRIN,0.83546,1.0,0.03571,1.0,0.50909,0.0101
PERM_TIMP2,0.75341,1.0,0.07018,1.0,0.50467,0.51515
TIMP2_PERM,0.75341,1.0,0.05263,1.0,0.5,0.0101
HSPB1_CLIC1,0.74318,1.0,0.01818,1.0,0.50909,0.29293
CLIC1_HSPB1,0.74318,1.0,0.05455,1.0,0.51852,0.50505
KPYM_TIMP2,0.74074,1.0,0.04348,1.0,0.55102,0.51515
TIMP2_KPYM,0.74074,1.0,0.02174,1.0,0.54545,0.0101
MMP9_TIMP2,0.71746,0.98214,0.04444,0.66667,0.56122,0.51515
TIMP2_MMP9,0.71746,1.0,0.02222,1.0,0.56,0.10101
PIGR_CLIC1,0.69518,1.0,0.02128,1.0,0.51579,0.13131
CLIC1_PIGR,0.69518,0,0,0,0,0.5
PERM_PIGR,0.67607,0,0,0,0,0.5
PIGR_PERM,0.67607,1.0,0.02041,1.0,0.49474,0.22222
AGRIN_HSPB1,0.667,0,0,0,0,0.5
HSPB1_AGRIN,0.667,0,0,0,0,0.5
HSPB1_TIMP2,0.66292,0.98077,0.11321,0.85714,0.52041,0.51515
TIMP2_HSPB1,0.66292,1.0,0.01887,1.0,0.5,0.0202
AGRIN_PIGR,0.65957,0,0,0,0,0.5
PIGR_AGRIN,0.65957,0.97959,0.02128,0.5,0.51064,0.35354
KPYM_CLIC1,0.65517,1.0,0.02083,1.0,0.55238,0.17172
CLIC1_KPYM,0.65517,1.0,0.02083,1.0,0.55238,0.50505
MMP9_PIGR,0.63418,0,0,0,0,0.5
PIGR_MMP9,0.63418,0.97959,0.175,0.875,0.59259,0.46465
HSPB1_PERM,0.6078,0.98148,0.03571,0.66667,0.49533,0.42424
PERM_HSPB1,0.6078,0,0,0,0,0.5
AGRIN_CLIC1,0.59006,1.0,0.01754,1.0,0.51724,0.33333
CLIC1_AGRIN,0.59006,1.0,0.05263,1.0,0.52632,0.50505
MMP9_HSPB1,0.58532,0,0,0,0,0.5
HSPB1_MMP9,0.58532,1.0,0.08889,1.0,0.57732,0.45455
KPYM_PIGR,0.57895,0,0,0,0,0.5
PIGR_KPYM,0.57895,1.0,0.05263,1.0,0.56627,0.47475
MMP9_CLIC1,0.57464,1.0,0.02174,1.0,0.57143,0.29293
CLIC1_MMP9,0.57464,1.0,0.02174,1.0,0.57143,0.50505
KPYM_AGRIN,0.57076,0,0,0,0,0.5
AGRIN_KPYM,0.57076,0.96552,0.0625,0.6,0.55446,0.50505
KPYM_HSPB1,0.562,0,0,0,0,0.5
HSPB1_KPYM,0.562,0,0,0,0,0.5
HSPB1_PIGR,0.5599,0,0,0,0,0.5
PIGR_HSPB1,0.5599,0.97826,0.02222,0.5,0.50562,0.39394
PERM_CLIC1,0.54756,1.0,0.01724,1.0,0.50435,0.25253
CLIC1_PERM,0.54756,0,0,0,0,0.5
