Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.42105263157894735,0
0.7656754122586383,0.0,0.96875,0.41333333333333333,0.0
0.7585845913187375,0.045454545454545456,0.96875,0.4246575342465753,0.6666666666666666
0.73860874365051,0.045454545454545456,0.9375,0.4166666666666667,0.5
0.6890558885361314,0.3409090909090909,0.9375,0.5084745762711864,0.8823529411764706
0.6880363051930085,0.3409090909090909,0.90625,0.5,0.8333333333333334
0.6827082060107222,0.4772727272727273,0.90625,0.5576923076923077,0.875
0.6825285791546435,0.4772727272727273,0.875,0.5490196078431373,0.84
0.6822210451800407,0.5,0.875,0.56,0.8461538461538461
0.6809047762726346,0.5,0.84375,0.5510204081632653,0.8148148148148148
0.6767422784110851,0.5681818181818182,0.84375,0.5869565217391305,0.8333333333333334
0.6747560149141225,0.5681818181818182,0.8125,0.5777777777777777,0.8064516129032258
0.6745543757544081,0.5909090909090909,0.8125,0.5909090909090909,0.8125
0.6611210483852517,0.5909090909090909,0.75,0.5714285714285714,0.7647058823529411
0.6610867014858051,0.6136363636363636,0.75,0.5853658536585366,0.7714285714285715
0.6608238097045659,0.6136363636363636,0.71875,0.575,0.75
0.6549486386630905,0.7045454545454546,0.71875,0.6388888888888888,0.775
0.6513838454569445,0.7045454545454546,0.6875,0.6285714285714286,0.7560975609756098
0.646666716768771,0.75,0.6875,0.6666666666666666,0.7674418604651163
0.645622285325136,0.75,0.625,0.6451612903225806,0.7333333333333333
0.6436508693545236,0.7727272727272727,0.625,0.6666666666666666,0.7391304347826086
0.6114377472811056,0.7727272727272727,0.46875,0.6,0.6666666666666666
0.6092010439680745,0.7954545454545454,0.46875,0.625,0.6730769230769231
0.6084407481702385,0.7954545454545454,0.4375,0.6086956521739131,0.660377358490566
0.6018577719199489,0.8863636363636364,0.4375,0.7368421052631579,0.6842105263157895
0.5966990916796701,0.8863636363636364,0.34375,0.6875,0.65
0.5906120370877098,0.9090909090909091,0.34375,0.7333333333333333,0.6557377049180327
0.5818198433641405,0.9090909090909091,0.1875,0.6,0.6060606060606061
0.55424779690153,0.9545454545454546,0.1875,0.75,0.6176470588235294
0.542613097913038,0.9545454545454546,0.125,0.6666666666666666,0.6
0.5260884085004353,0.9772727272727273,0.125,0.8,0.6056338028169014
0.5006670605725427,0.9772727272727273,0.09375,0.75,0.5972222222222222
0.40016190822083453,1.0,0.09375,1.0,0.6027397260273972
0.10737354405747321,1.0,0.0,0,0.5789473684210527
