Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.5294117647058824,0
0.5218929348958721,0.0625,1.0,0.5454545454545454,1.0
0.517980503985651,0.625,1.0,0.75,1.0
0.5171222728270638,0.625,0.8333333333333334,0.7142857142857143,0.7692307692307693
0.5169775500665392,0.6875,0.8333333333333334,0.75,0.7857142857142857
0.5169758382428743,0.6875,0.7777777777777778,0.7368421052631579,0.7333333333333333
0.5161218570525471,0.8125,0.7777777777777778,0.8235294117647058,0.7647058823529411
0.5161146453265939,0.8125,0.7222222222222222,0.8125,0.7222222222222222
0.516060779421648,0.875,0.7222222222222222,0.8666666666666667,0.7368421052631579
0.514827863395475,0.875,0.3333333333333333,0.75,0.5384615384615384
0.5144358608301897,0.9375,0.3333333333333333,0.8571428571428571,0.5555555555555556
0.5122010180886614,0.9375,0.05555555555555555,0.5,0.46875
0.5121894708057849,1.0,0.05555555555555555,1.0,0.48484848484848486
0.512085258749108,1.0,0.0,0,0.47058823529411764
