Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.47368421052631576,0
0.9796152645757034,0.05,1.0,0.4864864864864865,1.0
0.7984806091474571,0.35,1.0,0.5806451612903226,1.0
0.7964319835913058,0.35,0.9444444444444444,0.5666666666666667,0.875
0.7486975949903113,0.45,0.9444444444444444,0.6071428571428571,0.9
0.6976575538994886,0.45,0.8888888888888888,0.5925925925925926,0.8181818181818182
0.6666102352259962,0.65,0.8888888888888888,0.6956521739130435,0.8666666666666667
0.6652255137012119,0.65,0.8333333333333334,0.6818181818181818,0.8125
0.6291821705284505,0.7,0.8333333333333334,0.7142857142857143,0.8235294117647058
0.6284484637023025,0.7,0.7777777777777778,0.7,0.7777777777777778
0.5775585484141391,0.9,0.7777777777777778,0.875,0.8181818181818182
0.5569838540428497,0.9,0.3888888888888889,0.7777777777777778,0.6206896551724138
0.5556006095439097,0.95,0.3888888888888889,0.875,0.6333333333333333
0.5426948174560041,0.95,0.16666666666666666,0.75,0.5588235294117647
0.5373037857187725,1.0,0.16666666666666666,1.0,0.5714285714285714
0.5103358217738747,1.0,0.0,0,0.5263157894736842
