Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.47368421052631576,0
0.9882228404066629,0.05,1.0,0.4864864864864865,1.0
0.8862454629301698,0.4,1.0,0.6,1.0
0.8837153398732899,0.4,0.9444444444444444,0.5862068965517241,0.8888888888888888
0.7727044446984326,0.5,0.9444444444444444,0.6296296296296297,0.9090909090909091
0.7726544346806788,0.5,0.8888888888888888,0.6153846153846154,0.8333333333333334
0.6652150840741399,0.7,0.8888888888888888,0.7272727272727273,0.875
0.643556858349392,0.7,0.8333333333333334,0.7142857142857143,0.8235294117647058
0.6203489469282407,0.8,0.8333333333333334,0.7894736842105263,0.8421052631578947
0.6089628833461996,0.8,0.7777777777777778,0.7777777777777778,0.8
0.5856978868300403,0.9,0.7777777777777778,0.875,0.8181818181818182
0.5674041699731027,0.9,0.6666666666666666,0.8571428571428571,0.75
0.5401243450867076,0.95,0.6666666666666666,0.9230769230769231,0.76
0.5256795070237349,0.95,0.5,0.9,0.6785714285714286
0.5181790062733771,1.0,0.5,1.0,0.6896551724137931
0.4943058182639856,1.0,0.3888888888888889,1.0,0.6451612903225806
0.49271717972819584,1.0,0.2222222222222222,1.0,0.5882352941176471
0.410507466955704,1.0,0.0,0,0.5263157894736842
