Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.47368421052631576,0
0.9985272882607313,0.05,1.0,0.4864864864864865,1.0
0.9761055253354395,0.35,1.0,0.5806451612903226,1.0
0.9672014364074423,0.35,0.9444444444444444,0.5666666666666667,0.875
0.7516611609554777,0.6,0.9444444444444444,0.68,0.9230769230769231
0.7120579534476466,0.6,0.8888888888888888,0.6666666666666666,0.8571428571428571
0.48276642459729696,0.8,0.8888888888888888,0.8,0.8888888888888888
0.42475669953068207,0.8,0.8333333333333334,0.7894736842105263,0.8421052631578947
0.3984503613346632,0.85,0.8333333333333334,0.8333333333333334,0.85
0.3534053203888408,0.85,0.6666666666666666,0.8,0.7391304347826086
0.3500630790072944,0.9,0.6666666666666666,0.8571428571428571,0.75
0.32127754526454144,0.9,0.3888888888888889,0.7777777777777778,0.6206896551724138
0.31050614510059105,0.95,0.3888888888888889,0.875,0.6333333333333333
0.29061970216556904,0.95,0.2777777777777778,0.8333333333333334,0.59375
0.2800404709599829,1.0,0.2777777777777778,1.0,0.6060606060606061
0.21870481408475098,1.0,0.0,0,0.5263157894736842
