Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.47368421052631576,0
0.9949680670013872,0.05,1.0,0.4864864864864865,1.0
0.9170652871510889,0.3,1.0,0.5625,1.0
0.9137352521166198,0.3,0.9444444444444444,0.5483870967741935,0.8571428571428571
0.7788745394519755,0.6,0.9444444444444444,0.68,0.9230769230769231
0.772778502092459,0.6,0.8888888888888888,0.6666666666666666,0.8571428571428571
0.738263908050824,0.65,0.8888888888888888,0.6956521739130435,0.8666666666666667
0.6913615564425285,0.65,0.8333333333333334,0.6818181818181818,0.8125
0.6148186685630141,0.8,0.8333333333333334,0.7894736842105263,0.8421052631578947
0.5945530531106695,0.8,0.7222222222222222,0.7647058823529411,0.7619047619047619
0.5833741961972507,0.85,0.7222222222222222,0.8125,0.7727272727272727
0.4764301970412988,0.85,0.6111111111111112,0.7857142857142857,0.7083333333333334
0.43574951111038007,0.9,0.6111111111111112,0.8461538461538461,0.72
0.4203473990667314,0.9,0.5555555555555556,0.8333333333333334,0.6923076923076923
0.40970780441303467,0.95,0.5555555555555556,0.9090909090909091,0.7037037037037037
0.1947236608279555,0.95,0.0,0.0,0.5135135135135135
0.1508532474718804,1.0,0.0,0,0.5263157894736842
