Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.47368421052631576,0
0.9561851721438501,0.05,1.0,0.4864864864864865,1.0
0.9409263921611359,0.05,0.9444444444444444,0.4722222222222222,0.5
0.8891546656567844,0.3,0.9444444444444444,0.5483870967741935,0.8571428571428571
0.8571515995196095,0.3,0.8888888888888888,0.5333333333333333,0.75
0.581541031914286,0.8,0.8888888888888888,0.8,0.8888888888888888
0.559230534852787,0.8,0.8333333333333334,0.7894736842105263,0.8421052631578947
0.5444632849896297,0.85,0.8333333333333334,0.8333333333333334,0.85
0.4963831216481408,0.85,0.6666666666666666,0.8,0.7391304347826086
0.4949187585369148,0.9,0.6666666666666666,0.8571428571428571,0.75
0.49001574119826774,0.9,0.5555555555555556,0.8333333333333334,0.6923076923076923
0.4873897756537588,0.95,0.5555555555555556,0.9090909090909091,0.7037037037037037
0.44102394292298025,0.95,0.1111111111111111,0.6666666666666666,0.5428571428571428
0.4114013751835991,1.0,0.1111111111111111,1.0,0.5555555555555556
0.2868940982192189,1.0,0.0,0,0.5263157894736842
