Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.4716981132075472,0
0.9999999999999998,0.017857142857142856,1.0,0.47619047619047616,1.0
0.9295584853433688,0.8928571428571429,1.0,0.8928571428571429,1.0
0.8604729044145719,0.8928571428571429,0.98,0.8909090909090909,0.9803921568627451
0.6588549683248401,0.9464285714285714,0.98,0.9423076923076923,0.9814814814814815
0.6467355238012418,0.9464285714285714,0.96,0.9411764705882353,0.9636363636363636
0.48849770372527973,0.9821428571428571,0.96,0.9795918367346939,0.9649122807017544
0.20099783466237794,0.9821428571428571,0.88,0.9777777777777777,0.9016393442622951
0.18711219914992705,1.0,0.88,1.0,0.9032258064516129
9.518670161791746e-09,1.0,0.0,0,0.5283018867924528
