Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.4672897196261682,0
0.9999999918528467,0.017543859649122806,1.0,0.4716981132075472,1.0
0.8891489751801637,0.8596491228070176,1.0,0.8620689655172413,1.0
0.8817238593898156,0.8596491228070176,0.98,0.8596491228070176,0.98
0.8605302301658657,0.8947368421052632,0.98,0.8909090909090909,0.9807692307692307
0.8470648972388203,0.8947368421052632,0.96,0.8888888888888888,0.9622641509433962
0.67622161299328,0.9298245614035088,0.96,0.9230769230769231,0.9636363636363636
0.5473615422607292,0.9298245614035088,0.94,0.9215686274509803,0.9464285714285714
0.3731150865843884,0.9649122807017544,0.94,0.9591836734693877,0.9482758620689655
0.3338139067936421,0.9649122807017544,0.92,0.9583333333333334,0.9322033898305084
0.26764433509720126,1.0,0.92,1.0,0.9344262295081968
4.591533091176414e-06,1.0,0.0,0,0.5327102803738317
