Threshold,Sensitivity,Specificity,NPV,PPV
inf,0.0,1.0,0.504950495049505,0
0.999999981047795,0.02,1.0,0.51,1.0
0.9291410413886393,0.84,1.0,0.864406779661017,1.0
0.8852199208544574,0.84,0.9803921568627451,0.8620689655172413,0.9767441860465116
0.7329601532485343,0.92,0.9803921568627451,0.9259259259259259,0.9787234042553191
0.6216862946996214,0.92,0.9607843137254902,0.9245283018867925,0.9583333333333334
0.5438629426343528,0.96,0.9607843137254902,0.9607843137254902,0.96
0.39513157753824996,0.96,0.9411764705882353,0.96,0.9411764705882353
0.37008470617595224,0.98,0.9411764705882353,0.9795918367346939,0.9423076923076923
0.05852686401624919,0.98,0.803921568627451,0.9761904761904762,0.8305084745762712
0.04722024877366275,1.0,0.803921568627451,1.0,0.8333333333333334
0.00017652829507908724,1.0,0.0,0,0.49504950495049505
