preferredName_A	preferredName_B	score
ARID1A	SMARCC1	0.999
ARID1A	ARID1B	0.999
ARID1A	DPF2	0.999
ARID1A	ACTL6A	0.999
ARID1A	SMARCD1	0.999
ARID1A	SMARCD3	0.999
ARID1A	SMARCA4	0.999
ARID1A	SMARCE1	0.999
ARID1A	SMARCB1	0.999
ARID1A	SMARCC2	0.999
ARID1A	SMARCA2	0.999
ARID1A	PBRM1	0.999
ARID1A	ARID2	0.998
ARID1A	DPF1	0.998
ARID1A	SMARCD2	0.997
ARID1A	BRD9	0.996
ARID1A	BCL7A	0.996
ARID1A	DPF3	0.995
ARID1A	ACTB	0.995
ARID1A	BCL7C	0.995
ARID1A	SS18	0.993
ARID1A	BCL7B	0.992
ARID1A	PHF10	0.991
ARID1A	BICRA	0.98
ARID1A	ACTL6B	0.978
ARID1A	BCL11A	0.975
ARID1A	MSH2	0.974
ARID1A	BRD7	0.972
ARID1A	TP53	0.961
ARID1A	H4C6	0.954
ARID1A	BICRAL	0.952
ARID1A	BCL11B	0.944
ARID1A	PPP2R1A	0.914
ARID1A	PPARG	0.914
ARID1A	PIK3CA	0.913
