preferredName_A	preferredName_B	score
MMP9	TIMP1	0.999
MMP9	CD44	0.998
MMP9	TIMP2	0.998
MMP9	LCN2	0.998
MMP9	THBS1	0.997
MMP9	TIMP3	0.995
MMP9	CTSG	0.992
MMP9	DMP1	0.982
MMP9	ELN	0.979
MMP9	MMP1	0.974
MMP9	ELANE	0.973
MMP9	SRC	0.97
MMP9	MPO	0.969
MMP9	TGFB1	0.968
MMP9	SDC1	0.968
MMP9	THBS2	0.968
MMP9	EDN1	0.963
MMP9	CYBB	0.963
MMP9	IL6	0.959
MMP9	CDH1	0.957
MMP9	MMP3	0.956
MMP9	HBEGF	0.95
MMP9	NCF1	0.95
MMP9	IL1B	0.949
MMP9	SPP1	0.947
MMP9	NCF2	0.941
MMP9	CYBA	0.941
MMP9	NCF4	0.936
MMP9	TLR4	0.934
MMP9	TNF	0.93
MMP9	IBSP	0.928
MMP9	KITLG	0.921
MMP9	COL18A1	0.92
MMP9	FGF2	0.919
MMP9	MMP2	0.918
MMP9	COL1A2	0.904
