preferredName_A	preferredName_B	score
SMAD4	SMAD3	0.999
SMAD4	SMAD2	0.999
SMAD4	SKIL	0.999
SMAD4	SMAD9	0.999
SMAD4	LEF1	0.999
SMAD4	SMAD5	0.999
SMAD4	TGFBR1	0.998
SMAD4	CTNNB1	0.998
SMAD4	SKI	0.998
SMAD4	E2F4	0.997
SMAD4	SMAD1	0.997
SMAD4	FOXH1	0.997
SMAD4	TGFBR2	0.996
SMAD4	EP300	0.994
SMAD4	HNF4A	0.99
SMAD4	SMAD6	0.989
SMAD4	JUN	0.989
SMAD4	E2F5	0.986
SMAD4	TRIM33	0.986
SMAD4	MAPK8	0.98
SMAD4	FOXO3	0.979
SMAD4	HDAC1	0.972
SMAD4	USP9X	0.971
SMAD4	SNAI1	0.96
SMAD4	SMURF2	0.959
SMAD4	TGFB1	0.959
SMAD4	ACVR1B	0.957
SMAD4	BMPR1A	0.957
SMAD4	BMP2	0.954
SMAD4	TCF7L2	0.948
SMAD4	SMAD7	0.947
SMAD4	BMPR2	0.946
SMAD4	YAP1	0.943
SMAD4	CDKN1A	0.94
SMAD4	DAXX	0.938
SMAD4	HMGA2	0.936
SMAD4	RBL1	0.934
SMAD4	BMP4	0.933
SMAD4	SP1	0.933
SMAD4	MAPK9	0.932
SMAD4	TFDP1	0.932
SMAD4	MYC	0.931
SMAD4	CEBPB	0.928
SMAD4	DACH1	0.927
SMAD4	TCF7L1	0.925
SMAD4	TCF7	0.925
SMAD4	KRAS	0.917
SMAD4	CREBBP	0.917
SMAD4	AKT1	0.914
SMAD4	PTEN	0.912
