,assembly,n_uniprots,composition,crystal_id
0,1,1.0,Homo,1ha1
0,1,1.0,Homo,5zgl
1,2,1.0,Homo,5zgl
0,1,1.0,Homo,1up1
0,1,2.0,Homo,5mpl
0,1,6.0,Homo,7bx7
0,1,2.0,Homo,1u1r
0,1,1.0,Homo,9f4e
0,1,2.0,Homo,4yoe
0,1,1.0,Homo,9f4s
0,1,1.0,Homo,9f5e
0,1,2.0,Homo,5mpg
0,1,1.0,Homo,9f5k
0,1,1.0,Homo,9f50
0,1,2.0,Homo,1u1n
0,1,4.0,Hetero,2h4m
0,1,1.0,Homo,9f1s
0,1,1.0,Homo,9f7f
0,1,1.0,Homo,9f54
0,1,1.0,Homo,9f4n
0,1,1.0,Homo,9f4p
0,1,2.0,Homo,1u1q
0,1,2.0,Homo,1u1p
0,1,2.0,Homo,1u1k
0,1,2.0,Homo,8rzv
1,2,2.0,Homo,8rzv
0,1,1.0,Homo,9f4z
0,1,1.0,Homo,1l3k
0,1,1.0,Hetero,6bxx
0,1,11.0,Homo,7zj2
0,1,11.0,Hetero,8iks
0,1,1.0,Homo,9f4r
0,1,2.0,Homo,1po6
0,1,1.0,Homo,9f4y
0,1,1.0,Homo,9f4d
0,1,2.0,Homo,1u1m
0,1,2.0,Homo,1u1o
0,1,11.0,Hetero,8ik7
0,1,1.0,Homo,9f4w
0,1,1.0,Homo,9f5c
0,1,1.0,Homo,9f5g
0,1,2.0,Homo,1pgz
0,1,4.0,Homo,6dcl
0,1,1.0,Homo,9f7h
0,1,11.0,Hetero,8ikp
0,1,1.0,Homo,9f53
0,1,1.0,Homo,9f4g
0,1,1.0,Homo,9f4u
0,1,1.0,Hetero,5zgd
0,1,2.0,Homo,2up1
0,1,1.0,Homo,9f5f
0,1,11.0,Hetero,8ikb
0,1,1.0,Hetero,6j60
0,1,1.0,Homo,9f4x
0,1,1.0,Homo,2lyv
0,1,1.0,Homo,9f4j
0,1,1.0,Homo,9f4l
0,1,1.0,Homo,9f4h
0,1,2.0,Homo,1u1l
0,1,1.0,Homo,9f4t
0,1,1.0,Homo,9f4v
